@relation micro_0
@attribute x1 real
@attribute x2 real
@attribute y {0,1,2}
@data
5.7647760005823185, 3.2733884450442674, 2
5.630427434255317, 3.059681614514351, 2
5.818598246118829, 3.1216640223157937, 2
5.671183425919897, 3.2062228828563417, 2
5.594733720720403, 3.1627390699591453, 2
5.741581855332075, 3.2480859110971587, 2
5.799681929843643, 3.3905196475746413, 2
5.63009269715602, 3.3161331302799786, 2
5.575482588069434, 3.1798463800652166, 2
5.690114826896286, 3.1742278174714316, 2
5.660345523163492, 3.1417852637488406, 2
